Designator,X-Coordinate,Y-Coordinate,Rotation,Layer
C375,287.500000,-202.500000,0.000000,Top
C376,290.000000,-202.500000,0.000000,Top
C377,292.500000,-202.500000,0.000000,Top
C378,295.000000,-202.500000,0.000000,Top
C379,297.500000,-202.500000,0.000000,Top
C380,300.000000,-202.500000,0.000000,Top
C381,302.500000,-202.500000,0.000000,Top
C382,305.000000,-202.500000,0.000000,Top
C383,307.500000,-202.500000,0.000000,Top
C384,260.000000,-205.000000,0.000000,Top
C385,262.500000,-205.000000,0.000000,Top
C386,265.000000,-205.000000,0.000000,Top
C387,267.500000,-205.000000,0.000000,Top
C388,270.000000,-205.000000,0.000000,Top
C389,272.500000,-205.000000,0.000000,Top
C390,275.000000,-205.000000,0.000000,Top
C391,277.500000,-205.000000,0.000000,Top
C392,280.000000,-205.000000,0.000000,Top
C393,282.500000,-205.000000,0.000000,Top
C394,285.000000,-205.000000,0.000000,Top
C395,287.500000,-205.000000,0.000000,Top
C396,290.000000,-205.000000,0.000000,Top
C397,292.500000,-205.000000,0.000000,Top
C398,295.000000,-205.000000,0.000000,Top
C399,297.500000,-205.000000,0.000000,Top
C400,300.000000,-205.000000,0.000000,Top
C401,302.500000,-205.000000,0.000000,Top
C402,305.000000,-205.000000,0.000000,Top
C403,307.500000,-205.000000,0.000000,Top
C404,260.000000,-207.500000,0.000000,Top
C405,262.500000,-207.500000,0.000000,Top
C406,265.000000,-207.500000,0.000000,Top
C407,267.500000,-207.500000,0.000000,Top
C408,270.000000,-207.500000,0.000000,Top
C409,272.500000,-207.500000,0.000000,Top
C410,275.000000,-207.500000,0.000000,Top
C411,277.500000,-207.500000,0.000000,Top
C412,280.000000,-207.500000,0.000000,Top
C413,282.500000,-207.500000,0.000000,Top
C414,285.000000,-207.500000,0.000000,Top
C415,287.500000,-207.500000,0.000000,Top
C416,290.000000,-207.500000,0.000000,Top
C417,292.500000,-207.500000,0.000000,Top
C418,295.000000,-207.500000,0.000000,Top
C419,297.500000,-207.500000,0.000000,Top
C420,300.000000,-207.500000,0.000000,Top
C421,302.500000,-207.500000,0.000000,Top
C422,305.000000,-207.500000,0.000000,Top
C423,307.500000,-207.500000,0.000000,Top
C424,250.000000,-145.000000,90.000000,Top
C425,247.000000,-145.000000,90.000000,Top
C426,244.000000,-145.000000,90.000000,Top
C427,250.000000,-147.500000,90.000000,Top
C428,247.000000,-147.500000,90.000000,Top
C429,244.000000,-147.500000,90.000000,Top
C430,250.000000,-150.000000,90.000000,Top
C431,247.000000,-150.000000,90.000000,Top
C432,250.000000,-152.500000,90.000000,Top
C433,247.000000,-152.500000,90.000000,Top
C434,250.000000,-155.000000,90.000000,Top
C435,247.000000,-155.000000,90.000000,Top
C436,250.000000,-157.500000,90.000000,Top
C437,247.000000,-157.500000,90.000000,Top
C438,250.000000,-160.000000,90.000000,Top
C439,247.000000,-160.000000,90.000000,Top
C440,250.000000,-162.500000,90.000000,Top
C441,247.000000,-162.500000,90.000000,Top
C442,250.000000,-165.000000,90.000000,Top
C443,247.000000,-165.000000,90.000000,Top
C444,250.000000,-167.500000,90.000000,Top
C445,247.000000,-167.500000,90.000000,Top
C446,250.000000,-170.000000,90.000000,Top
C447,247.000000,-170.000000,90.000000,Top
C448,250.000000,-172.500000,90.000000,Top
C449,247.000000,-172.500000,90.000000,Top
C450,244.000000,-172.500000,90.000000,Top
C451,320.000000,-145.000000,90.000000,Top
C452,323.000000,-145.000000,90.000000,Top
C453,326.000000,-145.000000,90.000000,Top
C454,320.000000,-147.500000,90.000000,Top
C455,323.000000,-147.500000,90.000000,Top
C456,326.000000,-147.500000,90.000000,Top
C457,320.000000,-150.000000,90.000000,Top
C458,323.000000,-150.000000,90.000000,Top
C459,326.000000,-150.000000,90.000000,Top
C460,320.000000,-152.500000,90.000000,Top
C461,323.000000,-152.500000,90.000000,Top
C462,326.000000,-152.500000,90.000000,Top
C463,320.000000,-155.000000,90.000000,Top
C464,323.000000,-155.000000,90.000000,Top
C465,326.000000,-155.000000,90.000000,Top
C466,320.000000,-157.500000,90.000000,Top
C467,323.000000,-157.500000,90.000000,Top
C468,326.000000,-157.500000,90.000000,Top
C469,320.000000,-160.000000,90.000000,Top
C470,323.000000,-160.000000,90.000000,Top
C471,326.000000,-160.000000,90.000000,Top
C472,320.000000,-162.500000,90.000000,Top
C473,323.000000,-162.500000,90.000000,Top
C474,326.000000,-162.500000,90.000000,Top
C475,320.000000,-165.000000,90.000000,Top
C476,323.000000,-165.000000,90.000000,Top
C477,326.000000,-165.000000,90.000000,Top
