Item,Designator,Quantity,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP
61,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
62,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
63,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
64,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
65,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
66,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
67,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
68,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
69,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
70,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
71,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
72,?,1,LightRail:HBM4_Stack_11x11mm,HBM4_Stack_11x11mm,,,,,HBM4_Stack_11x11mm,,No
73,?,1,BGA-676_FPGA,BGA-2500,,,,,BGA-2500,,No
74,?,1,BGA-676_FPGA,BGA-2500,,,,,BGA-2500,,No
75,?,1,QFN-64_DAC,QFN-48,,,,,QFN-48,,No
76,?,1,QFN-64_DAC,QFN-48,,,,,QFN-48,,No
77,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
78,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
79,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
80,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
81,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
82,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
83,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
84,?,1,QFN-32_RF,QFN-48,,,,,QFN-48,,No
85,?,1,LGA-16_SNSPD,LGA-16_SNSPD,,,,,LGA-16_SNSPD,,No
86,?,1,LGA-16_SNSPD,LGA-16_SNSPD,,,,,LGA-16_SNSPD,,No
87,?,1,LGA-24_QMEM,LGA-24_QMEM,,,,,LGA-24_QMEM,,No
88,?,1,LGA-24_QMEM,LGA-24_QMEM,,,,,LGA-24_QMEM,,No
89,?,1,BGA-256_CXL,BGA-2500,,,,,BGA-2500,,No
90,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
91,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
92,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
93,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
94,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
95,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
96,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
97,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
98,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
99,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
100,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
101,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
102,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
103,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
104,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
105,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
106,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
107,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
108,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
109,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
110,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
111,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
112,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
113,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
114,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
115,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
116,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
117,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
118,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
119,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
120,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
121,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
122,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
123,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
124,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
125,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
126,?,1,LightRail:C_0402,0402,,,,,0402,,No
127,?,1,LightRail:C_0402,0402,,,,,0402,,No
128,?,1,LightRail:C_0402,0402,,,,,0402,,No
129,?,1,LightRail:C_0402,0402,,,,,0402,,No
130,?,1,LightRail:C_0402,0402,,,,,0402,,No
131,?,1,LightRail:C_0402,0402,,,,,0402,,No
132,?,1,LightRail:C_0402,0402,,,,,0402,,No
133,?,1,LightRail:C_0402,0402,,,,,0402,,No
134,?,1,LightRail:C_0402,0402,,,,,0402,,No
135,?,1,LightRail:C_0402,0402,,,,,0402,,No
136,?,1,LightRail:C_0402,0402,,,,,0402,,No
137,?,1,LightRail:C_0402,0402,,,,,0402,,No
138,?,1,LightRail:C_0402,0402,,,,,0402,,No
139,?,1,LightRail:C_0402,0402,,,,,0402,,No
140,?,1,LightRail:C_0402,0402,,,,,0402,,No
141,?,1,LightRail:C_0402,0402,,,,,0402,,No
142,?,1,LightRail:C_0402,0402,,,,,0402,,No
143,?,1,LightRail:C_0402,0402,,,,,0402,,No
144,?,1,LightRail:C_0805,0805,,,,,0805,,No
145,?,1,LightRail:C_0805,0805,,,,,0805,,No
146,?,1,LightRail:C_0805,0805,,,,,0805,,No
