Ref,Val,Package,PosX,PosY,Rot,Side
"C774","1.0x0.5","C_passive",137.500000,-207.000000,0.000000,bottom
"C775","1.0x0.5","C_passive",140.000000,-207.000000,0.000000,bottom
"C776","1.0x0.5","C_passive",142.500000,-207.000000,0.000000,bottom
"C777","1.0x0.5","C_passive",145.000000,-207.000000,0.000000,bottom
"C778","1.0x0.5","C_passive",147.500000,-207.000000,0.000000,bottom
"C779","1.0x0.5","C_passive",270.000000,-201.000000,0.000000,bottom
"C780","1.0x0.5","C_passive",272.500000,-201.000000,0.000000,bottom
"C781","1.0x0.5","C_passive",275.000000,-201.000000,0.000000,bottom
"C782","1.0x0.5","C_passive",277.500000,-201.000000,0.000000,bottom
"C783","1.0x0.5","C_passive",280.000000,-201.000000,0.000000,bottom
"C784","1.0x0.5","C_passive",282.500000,-201.000000,0.000000,bottom
"C785","1.0x0.5","C_passive",285.000000,-201.000000,0.000000,bottom
"C786","1.0x0.5","C_passive",287.500000,-201.000000,0.000000,bottom
"C787","1.0x0.5","C_passive",290.000000,-201.000000,0.000000,bottom
"C788","1.0x0.5","C_passive",292.500000,-201.000000,0.000000,bottom
"C789","1.0x0.5","C_passive",295.000000,-201.000000,0.000000,bottom
"C790","1.0x0.5","C_passive",297.500000,-201.000000,0.000000,bottom
"C791","1.0x0.5","C_passive",270.000000,-204.000000,0.000000,bottom
"C792","1.0x0.5","C_passive",272.500000,-204.000000,0.000000,bottom
"C793","1.0x0.5","C_passive",275.000000,-204.000000,0.000000,bottom
"C794","1.0x0.5","C_passive",277.500000,-204.000000,0.000000,bottom
"C795","1.0x0.5","C_passive",280.000000,-204.000000,0.000000,bottom
"C796","1.0x0.5","C_passive",282.500000,-204.000000,0.000000,bottom
"C797","1.0x0.5","C_passive",285.000000,-204.000000,0.000000,bottom
"C798","1.0x0.5","C_passive",287.500000,-204.000000,0.000000,bottom
"C799","1.0x0.5","C_passive",290.000000,-204.000000,0.000000,bottom
