Ref,Val,Package,PosX,PosY,Rot,Side
"C158","1.0x0.5","C_passive",152.500000,-205.000000,0.000000,top
"C159","1.0x0.5","C_passive",155.000000,-205.000000,0.000000,top
"C160","1.0x0.5","C_passive",157.500000,-205.000000,0.000000,top
"C161","1.0x0.5","C_passive",110.000000,-207.500000,0.000000,top
"C162","1.0x0.5","C_passive",112.500000,-207.500000,0.000000,top
"C163","1.0x0.5","C_passive",115.000000,-207.500000,0.000000,top
"C164","1.0x0.5","C_passive",117.500000,-207.500000,0.000000,top
"C165","1.0x0.5","C_passive",120.000000,-207.500000,0.000000,top
"C166","1.0x0.5","C_passive",122.500000,-207.500000,0.000000,top
"C167","1.0x0.5","C_passive",125.000000,-207.500000,0.000000,top
"C168","1.0x0.5","C_passive",127.500000,-207.500000,0.000000,top
"C169","1.0x0.5","C_passive",130.000000,-207.500000,0.000000,top
"C170","1.0x0.5","C_passive",132.500000,-207.500000,0.000000,top
"C171","1.0x0.5","C_passive",135.000000,-207.500000,0.000000,top
"C172","1.0x0.5","C_passive",137.500000,-207.500000,0.000000,top
"C173","1.0x0.5","C_passive",140.000000,-207.500000,0.000000,top
"C174","1.0x0.5","C_passive",142.500000,-207.500000,0.000000,top
"C175","1.0x0.5","C_passive",145.000000,-207.500000,0.000000,top
"C176","1.0x0.5","C_passive",147.500000,-207.500000,0.000000,top
"C177","1.0x0.5","C_passive",150.000000,-207.500000,0.000000,top
"C178","1.0x0.5","C_passive",152.500000,-207.500000,0.000000,top
"C179","1.0x0.5","C_passive",155.000000,-207.500000,0.000000,top
"C180","1.0x0.5","C_passive",157.500000,-207.500000,0.000000,top
"C181","1.0x0.5","C_passive",100.000000,-145.000000,90.000000,top
"C182","1.0x0.5","C_passive",97.000000,-145.000000,90.000000,top
"C183","1.0x0.5","C_passive",94.000000,-145.000000,90.000000,top
"C184","1.0x0.5","C_passive",100.000000,-147.500000,90.000000,top
"C185","1.0x0.5","C_passive",97.000000,-147.500000,90.000000,top
"C186","1.0x0.5","C_passive",94.000000,-147.500000,90.000000,top
"C187","1.0x0.5","C_passive",100.000000,-150.000000,90.000000,top
"C188","1.0x0.5","C_passive",97.000000,-150.000000,90.000000,top
"C189","1.0x0.5","C_passive",94.000000,-150.000000,90.000000,top
"C190","1.0x0.5","C_passive",100.000000,-152.500000,90.000000,top
"C191","1.0x0.5","C_passive",97.000000,-152.500000,90.000000,top
"C192","1.0x0.5","C_passive",94.000000,-152.500000,90.000000,top
"C193","1.0x0.5","C_passive",100.000000,-155.000000,90.000000,top
"C194","1.0x0.5","C_passive",97.000000,-155.000000,90.000000,top
"C195","1.0x0.5","C_passive",94.000000,-155.000000,90.000000,top
"C196","1.0x0.5","C_passive",100.000000,-157.500000,90.000000,top
"C197","1.0x0.5","C_passive",97.000000,-157.500000,90.000000,top
"C198","1.0x0.5","C_passive",94.000000,-157.500000,90.000000,top
"C199","1.0x0.5","C_passive",100.000000,-160.000000,90.000000,top
"C200","1.0x0.5","C_passive",97.000000,-160.000000,90.000000,top
"C201","1.0x0.5","C_passive",94.000000,-160.000000,90.000000,top
"C202","1.0x0.5","C_passive",100.000000,-162.500000,90.000000,top
"C203","1.0x0.5","C_passive",97.000000,-162.500000,90.000000,top
"C204","1.0x0.5","C_passive",94.000000,-162.500000,90.000000,top
"C205","1.0x0.5","C_passive",100.000000,-165.000000,90.000000,top
"C206","1.0x0.5","C_passive",97.000000,-165.000000,90.000000,top
"C207","1.0x0.5","C_passive",94.000000,-165.000000,90.000000,top
"C208","1.0x0.5","C_passive",100.000000,-167.500000,90.000000,top
"C209","1.0x0.5","C_passive",97.000000,-167.500000,90.000000,top
"C210","1.0x0.5","C_passive",94.000000,-167.500000,90.000000,top
"C211","1.0x0.5","C_passive",100.000000,-170.000000,90.000000,top
"C212","1.0x0.5","C_passive",97.000000,-170.000000,90.000000,top
"C213","1.0x0.5","C_passive",94.000000,-170.000000,90.000000,top
"C214","1.0x0.5","C_passive",100.000000,-172.500000,90.000000,top
"C215","1.0x0.5","C_passive",97.000000,-172.500000,90.000000,top
"C216","1.0x0.5","C_passive",94.000000,-172.500000,90.000000,top
"C217","1.0x0.5","C_passive",170.000000,-145.000000,90.000000,top
"C218","1.0x0.5","C_passive",173.000000,-145.000000,90.000000,top
"C219","1.0x0.5","C_passive",176.000000,-145.000000,90.000000,top
"C220","1.0x0.5","C_passive",170.000000,-147.500000,90.000000,top
"C221","1.0x0.5","C_passive",173.000000,-147.500000,90.000000,top
"C222","1.0x0.5","C_passive",176.000000,-147.500000,90.000000,top
"C223","1.0x0.5","C_passive",170.000000,-150.000000,90.000000,top
"C224","1.0x0.5","C_passive",173.000000,-150.000000,90.000000,top
